"key","name","entity_type","cui","count"
"13 March 2023","13 March 2023","DATE","","1"
"13.4 ml","13.4 ml","VOLUME","","1"
"13/02/2023","13/02/2023","DATE","","1"
"13x15x10 mm","13x15x10 mm","QUANTITATIVE_CONCEPT","","1"
"13x16x53 mm","13x16x53 mm","DISTANCE","","1"
"13x17x39 mm","13x17x39 mm","QUANTITATIVE_CONCEPT","","1"
"13x19x9 mm","13x19x9 mm","QUANTITATIVE_CONCEPT","","1"
"14/03/2023","14/03/2023","DATE","","1"
"140 ms","140 ms","LAB_VALUE","","3"
"14x12x45 mm","14x12x45 mm","DISTANCE","","1"
"14x13x57 mm","14x13x57 mm","QUANTITATIVE_CONCEPT","","1"
"14x15x40 mm","14x15x40 mm","DISTANCE","","1"
"14x18x52 mm","14x18x52 mm","DISTANCE","","1"
"14x5x4 mm","14x5x4 mm","DISTANCE","","1"
"14x8x16 mm","14x8x16 mm","QUANTITATIVE_CONCEPT","","1"
"15 March 2011","15 March 2011","DATE","","3"
"15 March 2023","15 March 2023","DATE","","2"
"15%","15%","QUANTITATIVE_CONCEPT","","1"
"150 mg/l","150 mg/l","LAB_VALUE","","1"
"1500 ml","1500 ml","VOLUME","","2"
"155 ms","155 ms","LAB_VALUE","","1"
"15x13x56 mm","15x13x56 mm","DISTANCE","","1"
"15x16x9 mm","15x16x9 mm","QUANTITATIVE_CONCEPT","","1"
"15x5 mm","15x5 mm","QUANTITATIVE_CONCEPT","","3"
"15x7x21 mm","15x7x21 mm","DISTANCE","","1"
"16 June 2023","16 June 2023","DATE","","1"
"16 May 2023","16 May 2023","DATE","","2"
"16 ng/ml","16 ng/ml","LAB_VALUE","","1"
"160 ms","160 ms","LAB_VALUE","","1"
"16x15x44 mm","16x15x44 mm","QUANTITATIVE_CONCEPT","","1"
"16x15x45 mm","16x15x45 mm","DISTANCE","","2"
"16x15x46 mm","16x15x46 mm","DISTANCE","","1"
"16x16x45 mm","16x16x45 mm","DISTANCE","","1"
"16x18x29 mm","16x18x29 mm","QUANTITATIVE_CONCEPT","","1"
"16x9 mm","16x9 mm","QUANTITATIVE_CONCEPT","","1"
"17 May 2023","17 May 2023","DATE","","1"
"17-24-22 mm","17-24-22 mm","DISTANCE","","2"
"17.8 ml","17.8 ml","VOLUME","","1"
"1800 ml","1800 ml","VOLUME","","1"
"18x18x48 mm","18x18x48 mm","QUANTITATIVE_CONCEPT","","1"
"19 July 2022","19 July 2022","DATE","","1"
"19 cm/s","19 cm/s","LAB_VALUE","","2"
"190 ms","190 ms","LAB_VALUE","","1"
"1981","1981","DATE","","2"
"19x14x27 mm","19x14x27 mm","DISTANCE","","1"
"19x15x46 mm","19x15x46 mm","QUANTITATIVE_CONCEPT","","1"
"19x20x55 mm","19x20x55 mm","QUANTITATIVE_CONCEPT","","1"
"2 July 2021","2 July 2021","DATE","","2"
"2-3/6","2-3/6","SEVERITY","","1"
"2.0 mm","2.0 mm","DISTANCE","","1"
"2.5 ml","2.5 ml","VOLUME","","1"
"2.5 mm","2.5 mm","DISTANCE","","1"
"2.6 ml","2.6 ml","VOLUME","","1"
"2.6 mm","2.6 mm","DISTANCE","","1"
"2.8 ml","2.8 ml","VOLUME","","1"
"20 April 2023","20 April 2023","DATE","","1"
"20 February 2023","20 February 2023","DATE","","1"
"20 mg/kg","20 mg/kg","DOSAGE","","1"
"20-30 mm","20-30 mm","DISTANCE","","1"
"20/02/2023","20/02/2023","DATE","","1"
"2000-2100 kcal","2000-2100 kcal","QUANTITATIVE_CONCEPT","","1"
"2011","2011","DATE","","3"
"2013","2013","DATE","","3"
"2015","2015","DATE","","5"
"2016","2016","DATE","","5"
"2017","2017","DATE","","1"
"2018","2018","DATE","","2"
"2019","2019","DATE","","2"
"20x10x14 mm","20x10x14 mm","QUANTITATIVE_CONCEPT","","1"
"20x14 mm","20x14 mm","QUANTITATIVE_CONCEPT","","1"
"20x14x16 mm","20x14x16 mm","QUANTITATIVE_CONCEPT","","1"
"20x14x30 mm","20x14x30 mm","QUANTITATIVE_CONCEPT","","2"
"21 March 2023","21 March 2023","DATE","","2"
"21 years ago","21 years ago","DATE","","1"
"21x12 mm","21x12 mm","QUANTITATIVE_CONCEPT","","1"
"21x22x18 mm","21x22x18 mm","QUANTITATIVE_CONCEPT","","1"
"21x4 mm","21x4 mm","DISTANCE","","1"
"22 February 2022","22 February 2022","DATE","","1"
"22:00","22:00","TIME","","2"
"22x11 mm","22x11 mm","DISTANCE","","1"
"23 February 2023","23 February 2023","DATE","","1"
"23 January 2023","23 January 2023","DATE","","1"
"23:00","23:00","TIME","","1"
"23x18x52 mm","23x18x52 mm","QUANTITATIVE_CONCEPT","","1"
"24-hour calcium loss","24-hour calcium loss","DIAGNOSTIC_PROCEDURE","","1"
"24-hour fluid balance","24-hour fluid balance","DIAGNOSTIC_PROCEDURE","","1"
"24-hour urine collection for catecholamine metabolites","24-hour urine collection for catecholamine metabolites","DIAGNOSTIC_PROCEDURE","","1"
"241.1 MBq","241.1 MBq","DOSAGE","","2"
"244 MBq","244 MBq","DOSAGE","","1"
"24x20x10 mm","24x20x10 mm","QUANTITATIVE_CONCEPT","","1"
"24x9 mm","24x9 mm","DISTANCE","","1"
"25.4 ml","25.4 ml","VOLUME","","1"
"25x20x42 mm","25x20x42 mm","QUANTITATIVE_CONCEPT","","1"
"26 April 2023","26 April 2023","DATE","","2"
"26.6 ml","26.6 ml","VOLUME","","1"
"26x30x24 mm","26x30x24 mm","QUANTITATIVE_CONCEPT","","1"
"27 March 2022","27 March 2022","DATE","","1"
"27 March 2023","27 March 2023","DATE","","3"
"28/07/2021","28/07/2021","DATE","","1"
"29 June 2022","29 June 2022","DATE","","2"
"29/01/2020","29/01/2020","DATE","","1"
"2x2 mm","2x2 mm","QUANTITATIVE_CONCEPT","","1"
"2x2.5 mg","2x2.5 mg","DOSAGE","","1"
"2x3.125 mg","2x3.125 mg","DOSAGE","","1"
"3 litres","3 litres","VOLUME","","1"
"3 mm","3 mm","DISTANCE","","2"
"3.1 ml","3.1 ml","VOLUME","","1"
"3.7 ml","3.7 ml","VOLUME","","4"
"3.8","3.8","LAB_VALUE","","1"
"3.8 ml","3.8 ml","VOLUME","","1"
"3.9 ml","3.9 ml","VOLUME","","2"
"3/11/2021","3/11/2021","DATE","","1"
"30 to 2","30 to 2","QUANTITATIVE_CONCEPT","","1"
"30/03/2022","30/03/2022","DATE","","1"
"30/09/2021","30/09/2021","DATE","","1"
"300 J","300 J","DOSAGE","","1"
"300 mg","300 mg","DOSAGE","","4"
"310 ms","310 ms","LAB_VALUE","","2"
"35%","35%","LAB_VALUE","","1"
"36%","36%","LAB_VALUE","","1"
"36.5 cm2","36.5 cm2","LAB_VALUE","","1"
"36.6 ml","36.6 ml","VOLUME","","1"
"360 J","360 J","DOSAGE","","1"
"360 ms","360 ms","LAB_VALUE","","1"
"375 ms","375 ms","LAB_VALUE","","1"
"39-40 mm","39-40 mm","LAB_VALUE","","1"
"39x29 mm","39x29 mm","QUANTITATIVE_CONCEPT","","1"
"3:00","3:00","TIME","","1"
"3x2 mm","3x2 mm","QUANTITATIVE_CONCEPT","","1"
"3x3x3 mm","3x3x3 mm","QUANTITATIVE_CONCEPT","","2"
"3x3x4 mm","3x3x4 mm","VOLUME","","1"
"3x4x3.5 mm","3x4x3.5 mm","VOLUME","","1"
"4 by 4.5 by 4 millimetres","4 by 4.5 by 4 millimetres","QUANTITATIVE_CONCEPT","","1"
"4-chamber view","4-chamber view","DIAGNOSTIC_PROCEDURE","","4"
"4.2 ml","4.2 ml","VOLUME","","1"
"4.4 ml","4.4 ml","VOLUME","","2"
"4.5 ml","4.5 ml","VOLUME","","2"
"4.5x8 mm","4.5x8 mm","VOLUME","","1"
"40 to 60","40 to 60","LAB_VALUE","","1"
"40.3 ml","40.3 ml","VOLUME","","3"
"40.7 mm","40.7 mm","LAB_VALUE","","1"
"40.9 mm","40.9 mm","DISTANCE","","1"
"41-26-78 mm","41-26-78 mm","LAB_VALUE","","1"
"420 ms","420 ms","LAB_VALUE","","2"
"44.1 mm","44.1 mm","LAB_VALUE","","3"
"44x24 mm","44x24 mm","DISTANCE","","1"
"4x3 mm","4x3 mm","QUANTITATIVE_CONCEPT","","1"
"4x3x4 mm","4x3x4 mm","DISTANCE","","2"
"4x3x6 mm","4x3x6 mm","QUANTITATIVE_CONCEPT","","2"
"4x4.5x4 mm","4x4.5x4 mm","DISTANCE","","2"
"5%","5%","QUANTITATIVE_CONCEPT","","1"
"5-7 mm","5-7 mm","LAB_VALUE","","1"
"5.2 cm","5.2 cm","LAB_VALUE","","1"
"5.2 ml","5.2 ml","VOLUME","","4"
"5.5 ml","5.5 ml","VOLUME","","2"
"5.7 ml","5.7 ml","VOLUME","","1"
"5.72 ml","5.72 ml","VOLUME","","1"
"5.8 ml","5.8 ml","VOLUME","","2"
"5.87 ml","5.87 ml","VOLUME","","1"
"5.9 ml","5.9 ml","VOLUME","","2"
"50 mg/kg","50 mg/kg","DOSAGE","","5"
"50.4 Gy/28 fractions","50.4 Gy/28 fractions","DOSAGE","","1"
"5th intercostal space in the axillary line","5th intercostal space in the axillary line","BIOLOGICAL_STRUCTURE","","1"
"5th rib","5th rib","BIOLOGICAL_STRUCTURE","","1"
"5x10 mm","5x10 mm","VOLUME","","1"
"5x3x6 mm","5x3x6 mm","DISTANCE","","1"
"5x4x3 mm","5x4x3 mm","QUANTITATIVE_CONCEPT","","1"
"6 by 50 mm","6 by 50 mm","DISTANCE","","1"
"6.1 ml","6.1 ml","VOLUME","","1"
"6.3 ml","6.3 ml","VOLUME","","1"
"6.4 ml","6.4 ml","VOLUME","","1"
"6.5 ml","6.5 ml","VOLUME","","1"
"6.6 ml","6.6 ml","VOLUME","","1"
"6.7 ml","6.7 ml","VOLUME","","2"
"6.8 ml","6.8 ml","VOLUME","","1"
"6.9 ml","6.9 ml","VOLUME","","1"
"600 mg","600 mg","DOSAGE","","1"
"61%","61%","LAB_VALUE","","1"
"63%","63%","LAB_VALUE","","1"
"64%","64%","LAB_VALUE","","3"
"66 Gy","66 Gy","DOSAGE","","1"
"66%","66%","LAB_VALUE","","2"
"68%","68%","QUANTITATIVE_CONCEPT","","1"
"6x6 mm","6x6 mm","QUANTITATIVE_CONCEPT","","1"
"6x6x4 mm","6x6x4 mm","QUANTITATIVE_CONCEPT","","1"
"7-day","7-day","DURATION","","1"
"7.4 ml","7.4 ml","VOLUME","","1"
"7.5x16 mm","7.5x16 mm","QUANTITATIVE_CONCEPT","","1"
"7.6 ml","7.6 ml","VOLUME","","1"
"70-80 g","70-80 g","MASS","","1"
"7:00","7:00","TIME","","1"
"7:30","7:30","TIME","","1"
"7x10x14 mm","7x10x14 mm","QUANTITATIVE_CONCEPT","","1"
"7x2 mm","7x2 mm","QUANTITATIVE_CONCEPT","","1"
"7x6x8 mm","7x6x8 mm","QUANTITATIVE_CONCEPT","","1"
"7x8x8 mm","7x8x8 mm","QUANTITATIVE_CONCEPT","","1"
"7x9x27 mm","7x9x27 mm","DISTANCE","","1"
"8 by 10 mm","8 by 10 mm","LAB_VALUE","","1"
"8.1 ml","8.1 ml","VOLUME","","2"
"8.6 ml","8.6 ml","VOLUME","","1"
"8.8 ml","8.8 ml","VOLUME","","1"
"80-82%","80-82%","LAB_VALUE","","1"
"85%","85%","QUANTITATIVE_CONCEPT","","1"
"89%","89%","LAB_VALUE","","1"
"8:00","8:00","TIME","","1"
"8x11 mm","8x11 mm","DISTANCE","","1"
"8x17 mm","8x17 mm","VOLUME","","1"
"8x5x13 mm","8x5x13 mm","QUANTITATIVE_CONCEPT","","1"
"8x9x14 mm","8x9x14 mm","QUANTITATIVE_CONCEPT","","1"
"9 May 2023","9 May 2023","DATE","","3"
"9-10 mm","9-10 mm","QUANTITATIVE_CONCEPT","","1"
"9.0","9.0","LAB_VALUE","","1"
"9.2 ml","9.2 ml","VOLUME","","2"
"9.3","9.3","LAB_VALUE","","1"
"9.8","9.8","LAB_VALUE","","1"
"9.9 ml","9.9 ml","VOLUME","","1"
"97-99%","97-99%","LAB_VALUE","","1"
"9:00","9:00","TIME","","1"
"9:10","9:10","TIME","","2"
"9:30","9:30","TIME","","1"
"9x5 mm","9x5 mm","QUANTITATIVE_CONCEPT","","2"
"9x5x10 mm","9x5x10 mm","DISTANCE","","1"
"9x6x6 mm","9x6x6 mm","QUANTITATIVE_CONCEPT","","1"
"9x9x24 mm","9x9x24 mm","DISTANCE","","1"
"ACR TI-RADS 2017","ACR TI-RADS 2017","DIAGNOSTIC_PROCEDURE","","1"
"AIDS","AIDS","DISEASE_DISORDER","","2"
"AITD","AITD","DISEASE_DISORDER","","1"
"ALK-BOND-","ALK-BOND-","LAB_VALUE","","1"
"APC-R","APC-R","DIAGNOSTIC_PROCEDURE","","2"
"AV annulus","AV annulus","BIOLOGICAL_STRUCTURE","","1"
"Activon Tube Manuka honey","Activon Tube Manuka honey","MEDICATION","","1"
"Adding salt to meals","Adding salt to meals","THERAPEUTIC_PROCEDURE","","2"
"Adult Cardiology Clinic","Adult Cardiology Clinic","NONBIOLOGICAL_LOCATION","","2"
"Ag-","Ag-","LAB_VALUE","","1"
"Alantan","Alantan","MEDICATION","","1"
"Altered marrow signal","Altered marrow signal","SIGN_SYMPTOM","","1"
"Alzheimer's","Alzheimer's","DISEASE_DISORDER","","1"
"Analgesic treatment","Analgesic treatment","MEDICATION","","2"
"Aquacel Foam","Aquacel Foam","MEDICATION","","1"
"Arrhythmia Clinic of the University Clinical Centre","Arrhythmia Clinic of the University Clinical Centre","NONBIOLOGICAL_LOCATION","","2"
"Arterial Hypertension","Arterial Hypertension","DISEASE_DISORDER","","1"
"Arterial Hypertension Clinic of the University Clinical Centre","Arterial Hypertension Clinic of the University Clinical Centre","NONBIOLOGICAL_LOCATION","","1"
"Assessment of eligibility","Assessment of eligibility","CLINICAL_EVENT","","1"
"Asynchronous ventilation","Asynchronous ventilation","THERAPEUTIC_PROCEDURE","","1"
"Atrauman Ag","Atrauman Ag","MEDICATION","","2"
"Atrauman Ag mesh dressing","Atrauman Ag mesh dressing","MEDICATION","","1"
"Atrauman Ag+","Atrauman Ag+","MEDICATION","","1"
"Avoiding alcohol","Avoiding alcohol","ACTIVITY","","1"
"BIRADS 2","BIRADS 2","LAB_VALUE","","2"
"Baastrup's sign","Baastrup's sign","DISEASE_DISORDER","","1"
"Background parenchyma","Background parenchyma","BIOLOGICAL_STRUCTURE","","1"
"Bactigras","Bactigras","MEDICATION","","1"
"Belosalic ointment","Belosalic ointment","MEDICATION","","1"
"Bibloc","Bibloc","MEDICATION","","1"
"C/Th/L/S spine","C/Th/L/S spine","BIOLOGICAL_STRUCTURE","","2"
"C0000726","Abdomen","BIOLOGICAL_STRUCTURE","C0000726","30"
"C0000737","Abdominal Pain","SIGN_SYMPTOM","C0000737","3"
"C0000768","Congenital Abnormality","SIGN_SYMPTOM","C0000768","4"
"C0000833","Abscess","DISEASE_DISORDER","C0000833","3"
"C0000872","Academic Medical Centers","NONBIOLOGICAL_LOCATION","C0000872","7"
"C0000894","Acceleration","SIGN_SYMPTOM","C0000894","8"
"C0000962","Bone structure of acetabulum","BIOLOGICAL_STRUCTURE","C0000962","1"
"C0000970","acetaminophen","MEDICATION","C0000970","3"
"C0001208","Acromioclavicular joint structure","BIOLOGICAL_STRUCTURE","C0001208","1"
"C0001268","spectinomycin","BIOLOGICAL_STRUCTURE","C0001268","1"
"C0001288","Activities of Daily Living (activity)","ACTIVITY","C0001288","1"
"C0001403","Addison Disease","DISEASE_DISORDER","C0001403","1"
"C0001418","Adenocarcinoma","DISEASE_DISORDER","C0001418","6"
"C0001428","Adenoidal structure","BIOLOGICAL_STRUCTURE","C0001428","2"
"C0001516","Adhesives","DETAILED_DESCRIPTION","C0001516","1"
"C0001527","Adipose tissue","BIOLOGICAL_STRUCTURE","C0001527","7"
"C0001554","Administration occupational activities","ADMINISTRATION","C0001554","11"
"C0001625","Adrenal Glands","BIOLOGICAL_STRUCTURE","C0001625","4"
"C0001632","Adrenalectomy","THERAPEUTIC_PROCEDURE","C0001632","1"
"C0001699","Klebsiella pneumoniae","DISEASE_DISORDER","C0001699","2"
"C0001899","Alanine Transaminase","DIAGNOSTIC_PROCEDURE","C0001899","1"
"C0001927","albuterol","MEDICATION","C0001927","1"
"C0001948","Alcohol consumption","ACTIVITY","C0001948","3"
"C0001973","Alcoholic Intoxication, Chronic","DISEASE_DISORDER","C0001973","10"
"C0002059","Alkaline Phosphatase","LAB_VALUE","C0002059","1"
"C0002111","Allergy Specialty","DISEASE_DISORDER","C0002111","2"
"C0002395","Alzheimer's Disease","DISEASE_DISORDER","C0002395","2"
"C0002424","Ambulatory Care Facilities","NONBIOLOGICAL_LOCATION","C0002424","28"
"C0002598","amiodarone","MEDICATION","C0002598","8"
"C0002645","amoxicillin","MEDICATION","C0002645","1"
"C0002680","ampicillin","MEDICATION","C0002680","2"
"C0002690","Amputation Stumps","BIOLOGICAL_STRUCTURE","C0002690","1"
"C0002766","Pain management","NONBIOLOGICAL_LOCATION","C0002766","4"
"C0002771","Analgesics","MEDICATION","C0002771","1"
"C0002772","Analgesics, Opioid","MEDICATION","C0002772","1"
"C0002778","Analysis of substances","DIAGNOSTIC_PROCEDURE","C0002778","2"
"C0002792","anaphylaxis","DISEASE_DISORDER","C0002792","1"
"C0002871","Anemia","DISEASE_DISORDER","C0002871","14"
"C0002886","Anemia, Macrocytic","DISEASE_DISORDER","C0002886","1"
"C0002915","General Anesthesia","THERAPEUTIC_PROCEDURE","C0002915","1"
"C0002940","Aneurysm","DISEASE_DISORDER","C0002940","1"
"C0002978","angiogram","DIAGNOSTIC_PROCEDURE","C0002978","1"
"C0003232","Antibiotics","MEDICATION","C0003232","4"
"C0003241","Antibodies","DIAGNOSTIC_PROCEDURE","C0003241","1"
"C0003242","Antibodies, Anti-Idiotypic","DIAGNOSTIC_PROCEDURE","C0003242","6"
"C0003299","Antiepileptic Agents","MEDICATION","C0003299","1"
"C0003308","Antifungal Agents","MEDICATION","C0003308","1"
"C0003364","Antihypertensive Agents","MEDICATION","C0003364","1"
"C0003424","Antisepsis","THERAPEUTIC_PROCEDURE","C0003424","2"
"C0003438","antithrombin III","DIAGNOSTIC_PROCEDURE","C0003438","2"
"C0003483","Aorta","BIOLOGICAL_STRUCTURE","C0003483","8"
"C0003484","Abdominal aorta structure","BIOLOGICAL_STRUCTURE","C0003484","6"
"C0003489","Aortic arch structure","BIOLOGICAL_STRUCTURE","C0003489","9"
"C0003492","Aortic coarctation","DISEASE_DISORDER","C0003492","1"
"C0003501","Aortic valve structure","BIOLOGICAL_STRUCTURE","C0003501","7"
"C0003504","Aortic Valve Insufficiency","DISEASE_DISORDER","C0003504","6"
"C0003507","Aortic Valve Stenosis","DISEASE_DISORDER","C0003507","8"
"C0003578","Apnea","SIGN_SYMPTOM","C0003578","2"
"C0003629","Appointments","CLINICAL_EVENT","C0003629","14"
"C0003630","Appointments and Schedules","CLINICAL_EVENT","C0003630","1"
"C0003811","Cardiac Arrhythmia","DISEASE_DISORDER","C0003811","7"
"C0003842","Arteries","BIOLOGICAL_STRUCTURE","C0003842","3"
"C0003844","Arteriography","DIAGNOSTIC_PROCEDURE","C0003844","1"
"C0003893","Arthroplasty","THERAPEUTIC_PROCEDURE","C0003893","3"
"C0003956","Ascending aorta structure","BIOLOGICAL_STRUCTURE","C0003956","9"
"C0003962","Ascites","SIGN_SYMPTOM","C0003962","5"
"C0003964","Peritoneal Fluid (body substance)","BIOLOGICAL_STRUCTURE","C0003964","1"
"C0004002","Aspartate Transaminase","DIAGNOSTIC_PROCEDURE","C0004002","1"
"C0004048","Inspiration function","SIGN_SYMPTOM","C0004048","7"
"C0004057","aspirin","MEDICATION","C0004057","1"
"C0004093","Asthenia","SIGN_SYMPTOM","C0004093","4"
"C0004114","Astrocytoma","DISEASE_DISORDER","C0004114","1"
"C0004144","Atelectasis","DISEASE_DISORDER","C0004144","1"
"C0004238","Atrial Fibrillation","DISEASE_DISORDER","C0004238","4"
"C0004239","Atrial Flutter","DISEASE_DISORDER","C0004239","1"
"C0004245","Atrioventricular Block","DISEASE_DISORDER","C0004245","1"
"C0004339","Auscultation","DIAGNOSTIC_PROCEDURE","C0004339","15"
"C0004352","Autistic Disorder","DISEASE_DISORDER","C0004352","4"
"C0004454","Axilla","AREA","C0004454","1"
"C0004600","Back","BIOLOGICAL_STRUCTURE","C0004600","5"
"C0004604","Back Pain","SIGN_SYMPTOM","C0004604","2"
"C0004611","Bacteria","SIGN_SYMPTOM","C0004611","2"
"C0004670","Prevotella melaninogenica","OTHER_ENTITY","C0004670","1"
"C0004708","Balloon Valvuloplasty","THERAPEUTIC_PROCEDURE","C0004708","3"
"C0004726","Bandage","MEDICATION","C0004726","3"
"C0004793","Base Sequence","DIAGNOSTIC_PROCEDURE","C0004793","4"
"C0004916","Beds","BIOLOGICAL_STRUCTURE","C0004916","6"
"C0004936","Mental disorders","DISEASE_DISORDER","C0004936","1"
"C0005070","benzoin resin","LAB_VALUE","C0005070","2"
"C0005149","beta-2 Microglobulin","DIAGNOSTIC_PROCEDURE","C0005149","1"
"C0005367","Bicarbonates","LAB_VALUE","C0005367","3"
"C0005373","Bicuspid","DISEASE_DISORDER","C0005373","3"
"C0005377","Bicycling (recreational activity)","ACTIVITY","C0005377","1"
"C0005401","Intrahepatic bile duct","BIOLOGICAL_STRUCTURE","C0005401","1"
"C0005558","Biopsy","DIAGNOSTIC_PROCEDURE","C0005558","21"
"C0005680","Black Populations","COLOR","C0005680","5"
"C0005682","Urinary Bladder","BIOLOGICAL_STRUCTURE","C0005682","1"
"C0005684","Malignant neoplasm of urinary bladder","DISEASE_DISORDER","C0005684","1"
"C0005767","Blood","BIOLOGICAL_STRUCTURE","C0005767","4"
"C0005770","Blood Banks","NONBIOLOGICAL_LOCATION","C0005770","1"
"C0005771","Blood Cell Count","DIAGNOSTIC_PROCEDURE","C0005771","3"
"C0005775","Blood Circulation","SIGN_SYMPTOM","C0005775","2"
"C0005798","Blood Flow Velocity","DIAGNOSTIC_PROCEDURE","C0005798","3"
"C0005802","Blood Glucose","LAB_VALUE","C0005802","8"
"C0005823","Blood Pressure","DIAGNOSTIC_PROCEDURE","C0005823","4"
"C0005824","Blood pressure determination","DIAGNOSTIC_PROCEDURE","C0005824","2"
"C0005841","Blood Transfusion","THERAPEUTIC_PROCEDURE","C0005841","1"
"C0005847","Blood Vessel","BIOLOGICAL_STRUCTURE","C0005847","16"
"C0005903","Body Temperature","DIAGNOSTIC_PROCEDURE","C0005903","4"
"C0005910","Body Weight","BIOLOGICAL_ATTRIBUTE","C0005910","1"
"C0005931","Bone and Bones","BIOLOGICAL_STRUCTURE","C0005931","4"
"C0005953","Bone Marrow","BIOLOGICAL_STRUCTURE","C0005953","6"
"C0005954","Bone marrow biopsy","DIAGNOSTIC_PROCEDURE","C0005954","1"
"C0005957","Bone Marrow Examination","DIAGNOSTIC_PROCEDURE","C0005957","1"
"C0005961","Bone Marrow Transplantation","NONBIOLOGICAL_LOCATION","C0005961","1"
"C0006087","Structure of brachial artery","BIOLOGICAL_STRUCTURE","C0006087","1"
"C0006090","Brachial plexus structure","BIOLOGICAL_STRUCTURE","C0006090","1"
"C0006098","Brachytherapy","THERAPEUTIC_PROCEDURE","C0006098","4"
"C0006104","Brain","BIOLOGICAL_STRUCTURE","C0006104","24"
"C0006114","Cerebral Edema","DISEASE_DISORDER","C0006114","2"
"C0006118","Brain Neoplasms","DISEASE_DISORDER","C0006118","2"
"C0006121","Brain Stem","BIOLOGICAL_STRUCTURE","C0006121","2"
"C0006141","Breast","BIOLOGICAL_STRUCTURE","C0006141","10"
"C0006142","Malignant neoplasm of breast","DISEASE_DISORDER","C0006142","6"
"C0006145","Breast Diseases","NONBIOLOGICAL_LOCATION","C0006145","2"
"C0006147","Breast Feeding","NONBIOLOGICAL_LOCATION","C0006147","1"
"C0006155","Breathing Exercises","THERAPEUTIC_PROCEDURE","C0006155","1"
"C0006279","Bronchoalveolar Lavage Fluid","BIOLOGICAL_STRUCTURE","C0006279","1"
"C0006280","Bronchodilator Agents","MEDICATION","C0006280","1"
